realm,biome_num,ghm_tercile,n
Afrotropic,1,0,1
Afrotropic,1,1,1
Afrotropic,1,2,1
Afrotropic,2,2,1
Afrotropic,7,2,1
Afrotropic,9,1,1
Afrotropic,12,0,1
Afrotropic,13,2,1
Australasia,1,1,1
Australasia,2,2,1
Australasia,4,0,1
Australasia,4,1,1
Australasia,4,2,1
Australasia,7,0,1
Australasia,7,2,1
Australasia,8,0,1
Australasia,8,1,2
Australasia,12,0,1
Australasia,12,1,1
Australasia,13,0,1
Nearctic,5,0,1
Nearctic,6,1,1
Nearctic,6,2,1
Nearctic,8,2,1
Nearctic,13,0,1
Nearctic,13,2,1
Neotropic,1,0,2
Neotropic,1,1,1
Neotropic,1,2,1
Neotropic,2,1,2
Neotropic,2,2,2
Neotropic,3,1,1
Neotropic,4,2,1
Neotropic,7,2,1
Neotropic,8,1,1
Neotropic,8,2,1
Neotropic,10,0,1
Neotropic,10,1,1
Neotropic,10,2,1
Neotropic,12,1,1
Neotropic,13,0,1
Neotropic,13,1,1
Neotropic,14,1,1
Palearctic,4,2,1
Palearctic,5,0,1
Palearctic,5,1,1
Palearctic,5,2,1
Palearctic,6,1,2
Palearctic,8,2,1
Palearctic,9,2,1
Palearctic,10,1,1
Palearctic,11,0,1
Palearctic,12,1,1
Palearctic,12,2,1
Palearctic,13,2,1
